RIC,Year,returns_yearly
0973.HK,2009,0.0
0973.HK,2010,46.444960851
0973.HK,2011,-23.899518701
0973.HK,2012,51.000107895
0973.HK,2013,-34.49873000221707
0973.HK,2014,21.722445504
0973.HK,2015,-20.83248683243602
0973.HK,2016,5.113147961000003
0973.HK,2017,1.70219888491326
0973.HK,2018,2.718988225999998
0973.HK,2019,29.668648693
0973.HK,2020,13.890551819999997
0973.HK,2021,33.298033285
1910.HK,2009,0.0
1910.HK,2010,0.0
1910.HK,2011,3.650168310999998
1910.HK,2012,30.735527037
1910.HK,2013,42.915196478
1910.HK,2014,0.30413323199999986
1910.HK,2015,4.700249846000001
1910.HK,2016,1.5937847139999999
1910.HK,2017,53.522007695
1910.HK,2018,-37.730754411
1910.HK,2019,-3.670300603000003
1910.HK,2020,5.963399134000021
1910.HK,2021,28.652252114
1913.HK,2009,0.0
1913.HK,2010,0.0
1913.HK,2011,-5.2701589099999975
1913.HK,2012,81.080226125
1913.HK,2013,-3.279178458000004
1913.HK,2014,-38.965083574000005
1913.HK,2015,-53.44713401
1913.HK,2016,15.191307961000003
1913.HK,2017,15.762071927999997
1913.HK,2018,-0.03683067099999793
1913.HK,2019,28.3258549
1913.HK,2020,58.166610287
1913.HK,2021,-11.439571362000002
1COV.DE,2009,0.0
1COV.DE,2010,0.0
1COV.DE,2011,0.0
1COV.DE,2012,0.0
1COV.DE,2013,0.0
1COV.DE,2014,0.0
1COV.DE,2015,26.550402638999998
1COV.DE,2016,72.838771382
1COV.DE,2017,31.690111114
1COV.DE,2018,-59.82415912
1COV.DE,2019,5.246281681999999
1COV.DE,2020,30.520483388
1COV.DE,2021,20.003750722
1U1.DE,2009,139.831283773
1U1.DE,2010,29.078314936
1U1.DE,2011,27.948345563
1U1.DE,2012,58.075250405
1U1.DE,2013,77.463402355
1U1.DE,2014,42.486212157
1U1.DE,2015,36.986963865
1U1.DE,2016,12.666057910000001
1U1.DE,2017,58.375634745
1U1.DE,2018,-35.360662293
1U1.DE,2019,-58.615921886
1U1.DE,2020,-5.923806683999997
1U1.DE,2021,31.088801331
A,2009,79.774024596
A,2010,36.058792626000006
A,2011,-10.528980424000002
A,2012,20.023732443999997
A,2013,36.840628957
A,2014,1.550916475000001
A,2015,6.572905649000002
A,2016,11.928886727999998
A,2017,40.954917024
A,2018,4.090105335999999
A,2019,27.933324719
A,2020,36.719496757
A,2021,31.047293549000003
