RIC,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,ESG Score,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),Year,returns_yearly
BVIC.L,434.3734048,483.8246554,718.9573762,1361.504594,107.3094088,7.068281389,1561.383359,-3.988004084,,51.26713492,1430.56133,817.381317,19.29990539,2009,48.651107590999985
BVIC.L,579.7789059,580.0952065,901.2984138,1655.358922,139.6560871,8.006665292,1800.699024,-48.55213424,,50.55024169,1772.376566,889.1208426,16.92789969,2010,15.557061306000001
BVIC.L,598.9684778,607.6943453,893.1548686,1660.096296,122.2555282,7.912983817,2010.689188,35.05928915,,46.73286963,1205.126197,836.2809106,13.53443561,2011,-33.927687745
BVIC.L,615.5238742,601.1379433,907.121844,1658.099764,100.7657557,7.914422641,2030.84085,59.96831862,,57.9413427,1603.272359,872.046035,18.36357072,2012,27.226920137
BVIC.L,748.2290675,814.0641892,895.8740096,1714.940377,133.9191621,8.716900991,2133.025672,65.99648234,31.29650336,49.51324276,2819.919676,907.6533329,27.42139859,2013,56.909555495
BVIC.L,828.6628653,705.5249606,916.7113407,1790.210699,157.7426537,8.824210394,2183.992072,134.9968322,27.77912852,56.48656097,2600.057241,923.5342853,18.65114479,2014,-1.5438481979999992
BVIC.L,958.0701967,697.4131649,877.6111246,1972.158125,174.1011329,7.841383474,1973.676221,321.5326694,30.71113069,71.53369678,2810.45518,901.4452271,17.69857682,2015,8.345248148000001
BVIC.L,937.5770394,1011.275318,1014.64883,2120.642005,161.3024233,7.055922343,1857.118761,364.5988764,37.88002644,54.87737671,1839.323904,1153.222353,13.02789394,2016,-22.892889914
BVIC.L,766.2527294,827.6065319,900.7488379,2160.779113,186.478624,7.250479096,1916.301625,454.5271872,35.13541721,68.47316366,2906.107284,1256.815229,19.31279621,2017,37.40646116800002
BVIC.L,848.1200657,910.3937049,1001.98025,2293.441726,189.8329368,7.380873265,1958.883765,491.5448553,31.20695777,63.60917687,2701.676442,1314.911801,18.14076965,2018,0.5679506850000022
